GEOID,NAME,total_pop,pct_nh_white,pct_nh_black,pct_nh_native,pct_nh_asian,pct_hispanic,pct_in_pov,pct_high_school_or_higher,pct_bachelor_or_higher,per_capita_income,median_household_income,median_age,r95_to_r5,r85_to_r15,total_sales,prd,prd_lower_ci,prd_upper_ci,prb,prb_lower_ci,prb_upper_ci,r95rank,r85rank,prdrank,prbrank,density_bin
28131,"Stone County, Mississippi",17981,0.768255381,0.192314109,0.004115455,0,0.01918692,0.17270211,0.825588361,0.149679076,21615,46283,37.4,0.118673899,0.688184775,15,1.4961,0.7236,2.2687,-1.5106,-2.3791,-0.6421,30,665,112,2593,"0-50,000"
16061,"Lewis County, Idaho",3824,0.856171548,0.001046025,0.067730126,0.007845188,0.043410042,0.152722444,0.897473997,0.163447251,23285,40313,48.1,0.042270861,0.281695534,173,2.8566,2.3033,3.4099,-1.3469,-2.62,-0.0739,11,21,11,2590,"0-50,000"
28157,"Wilkinson County, Mississippi",9084,0.279282255,0.710149714,0,6.61E-04,0.002862175,0.387261623,0.698478123,0.149334179,12722,23340,37.3,0.186934056,0.345924803,13,1.4017,1.056,1.7475,-0.9333,-2.3107,0.4441,47,32,176,2580,"0-50,000"
26003,"Alger County, Michigan",9254,0.841582019,0.071860817,0.032742598,0.001080614,0.014156041,0.129759884,0.892721918,0.177534708,21771,42647,49.3,0.07449372,0.117047144,552,2.4017,2.114,2.6894,-0.7488,-1.0864,-0.4112,22,7,18,2575,"0-50,000"
48229,"Hudspeth County, Texas",3702,0.184764992,0.014856834,0,0.011885467,0.78363047,0.355905006,0.509572301,0.076171079,12543,26346,38.8,0.030811156,0.199551005,28,2.2517,1.6901,2.8134,-0.7423,-1.4184,-0.0661,7,14,27,2574,"0-50,000"
28139,"Tippah County, Mississippi",21993,0.77338244,0.165552676,0,0.004637839,0.046651207,0.228094511,0.776092402,0.144795436,19780,39351,38.6,0.244620742,0.365677439,13,1.3051,1.1026,1.5076,-0.5886,-1.037,-0.1401,79,37,300,2565,"0-50,000"
46103,"Pennington County, South Dakota",108126,0.805245732,0.010728224,0.080036254,0.011181399,0.048092041,0.140432597,0.935218853,0.295527244,28910,52245,37.8,0.198241118,0.198241118,10,1.6824,1.4298,1.9349,-0.5375,-0.8012,-0.2737,52,13,61,2561,"50,001-250,000"
18139,"Rush County, Indiana",16765,0.960990158,0.013659409,0,8.35E-04,0.015150611,0.183199177,0.84764711,0.148193084,23749,47955,41.6,0.246667374,0.368299375,1227,1.4137,1.3439,1.4834,-0.4285,-0.4831,-0.3738,81,38,162,2557,"0-50,000"
51740,"Portsmouth city, Virginia",95536,0.383426143,0.521447412,0.003851951,0.012497907,0.040728102,0.17672311,0.860072129,0.218545758,24291,48727,35.2,0.389867901,0.574136793,13257,1.1623,1.1538,1.1709,-0.4176,-0.4305,-0.4048,294,285,759.5,2555,"50,001-250,000"
26163,"Wayne County, Michigan",1763822,0.49675931,0.389128268,0.002559782,0.031087037,0.057248974,0.237424809,0.855865953,0.228235467,24847,43702,37.9,0.171756052,0.318956528,218975,1.6277,1.6213,1.6341,-0.4168,-0.4219,-0.4116,40,24,71,2554,"Over 1,000,000"
13265,"Taliaferro County, Georgia",1844,0.337310195,0.615509761,0,0.003253796,0.042299349,0.310494834,0.69140338,0.068332109,17939,30500,43.3,0.099696468,0.540902764,51,1.8317,1.3442,2.3192,-0.4093,-0.65,-0.1686,26,213,44,2553,"0-50,000"
18009,"Blackford County, Indiana",12214,0.959636483,0.002374325,0.002046832,0.004503029,0.01506468,0.128335983,0.877119628,0.111498258,22328,40622,43.7,0.239705815,0.350549106,881,1.4488,1.3924,1.5051,-0.4083,-0.4707,-0.346,72,33,134,2552,"0-50,000"
1085,"Lowndes County, Alabama",10362,0.242713762,0.743871839,8.69E-04,0,0.006851959,0.302275613,0.759660297,0.137438075,18976,29785,40.7,0.242305367,0.368360478,142,1.3797,1.1993,1.5601,-0.4078,-0.5709,-0.2447,76,39,205,2551,"0-50,000"
54109,"Wyoming County, West Virginia",22130,0.973700859,0.008630818,1.81E-04,0.003072752,0.002530502,0.222039699,0.783592913,0.093322404,20474,37644,43.8,0.173603203,0.390899654,92,1.3691,1.2878,1.4504,-0.3943,-0.5551,-0.2336,42,45,215,2548,"0-50,000"
54009,"Brooke County, West Virginia",23067,0.957515065,0.017080678,4.34E-05,0.004421901,0.008887155,0.130153524,0.907339394,0.199169125,25630,48835,46.2,0.390834844,0.322414671,27,1.4061,1.2499,1.5623,-0.393,-0.6944,-0.0916,297,25,169,2546,"0-50,000"
